study,paper,year,area,model,size_b,comparison,method,metric,direction,dataset,baseline_cond,baseline,treatment_cond,treatment,delta,rel_change_pct,n_eval,variance_reported,verified,source,notes
2311.08877,Llamas Know What GPTs Don't Show,2023,calibration,GPT-3.5 + Llama-2-70B surrogate,,verbalized_vs_surrogate,none,AUC selective,higher,12 QA datasets,linguistic confidence,59.0,surrogate probs,72.1,13.1,22.2,,false,false,raw-reports/01,calibration signal survives in base weights
2311.08877,Llamas Know What GPTs Don't Show,2023,calibration,GPT-4 + Llama-2-70B surrogate,,verbalized_vs_surrogate,none,AUC selective,higher,12 QA datasets,linguistic confidence,80.5,surrogate probs,82.1,1.6,2.0,,false,false,raw-reports/01,
2401.12794,LLM-Uncertainty-Bench,2024,calibration,Llama-2 base 7B->70B,70,scale,none,accuracy,higher,5 tasks x10k,7B,45.60,70B,65.86,20.26,44.4,10000,false,true,raw-reports/01,from official repo README
2401.12794,LLM-Uncertainty-Bench,2024,calibration,Llama-2 base 7B->70B,70,scale,none,conformal set size,lower,5 tasks x10k,7B,3.20,70B,2.62,-0.58,-18.1,10000,false,true,raw-reports/01,uncertainty shrinks with scale (base models)
2401.13275,Can AI Assistants Know,2024,abstention,Llama-2-7b-chat,7,sft_vs_pref,SFT,truthful rate,higher,TriviaQA-Idk,Idk-Prompting,66.93,Idk-SFT,74.75,7.82,11.7,,false,false,raw-reports/02,paper Table values pending PDF verification
2401.13275,Can AI Assistants Know,2024,abstention,Llama-2-7b-chat,7,sft_vs_pref,DPO,truthful rate,higher,TriviaQA-Idk,Idk-SFT,74.75,Idk-DPO,77.89,3.14,4.2,,false,false,raw-reports/02,DPO over SFT
2401.13275,Can AI Assistants Know,2024,abstention,Llama-2-7b-chat,7,sft_vs_pref,BoN,truthful rate,higher,TriviaQA-Idk,Idk-SFT,74.75,Idk-BoN,78.96,4.21,5.6,,false,false,raw-reports/02,best method
2401.13275,Can AI Assistants Know,2024,abstention,Llama-2-7b-chat,7,sft_vs_pref,PPO,truthful rate,higher,TriviaQA-Idk,Idk-SFT,74.75,Idk-PPO,76.47,1.72,2.3,,false,false,raw-reports/02,
2401.13275,Can AI Assistants Know,2024,abstention,Llama-2-7b-chat,7,sft_vs_pref,HIR,truthful rate,higher,TriviaQA-Idk,Idk-SFT,74.75,Idk-HIR,75.91,1.16,1.6,,false,false,raw-reports/02,
reanalysis-2401.13275,Our reanalysis of Cheng outputs,2026,abstention,Llama-2-7b-chat,7,sft_vs_pref,DPO,over-refusal on known,lower,TriviaQA-Idk n=11313,Idk-SFT,42.71,Idk-DPO,23.27,-19.44,-45.5,11313,false,true,analysis/reanalyze_idk_outputs.py,EXACT — computed from authors' released outputs
reanalysis-2401.13275,Our reanalysis of Cheng outputs,2026,abstention,Llama-2-7b-chat,7,sft_vs_pref,DPO,refusal recall on unknown,higher,TriviaQA-Idk n=11313,Idk-SFT,84.06,Idk-DPO,71.19,-12.87,-15.3,11313,false,true,analysis/reanalyze_idk_outputs.py,EXACT — preference trades recall for less over-refusal
reanalysis-2401.13275,Our reanalysis of Cheng outputs,2026,abstention,Llama-2-7b-chat,7,sft_vs_pref,PPO,over-refusal on known,lower,TriviaQA-Idk n=11313,Idk-SFT,42.71,Idk-PPO,30.86,-11.85,-27.7,11313,false,true,analysis/reanalyze_idk_outputs.py,EXACT
reanalysis-2401.13275,Our reanalysis of Cheng outputs,2026,abstention,Llama-2-7b-chat,7,sft_vs_pref,BoN,over-refusal on known,lower,TriviaQA-Idk n=11313,Idk-SFT,42.71,Idk-BoN,25.64,-17.07,-40.0,11313,false,true,analysis/reanalyze_idk_outputs.py,EXACT
2311.09677,R-Tuning,2023,abstention,OpenLLaMA-3B,3,refusal_aware_sft,SFT,accuracy on answered,higher,ParaRel ID,vanilla SFT,92.89,R-Tuning,93.23,0.34,0.4,,false,false,raw-reports/02,second-hand; verify Table 1
2311.09677,R-Tuning,2023,abstention,OpenLLaMA-3B,3,refusal_aware_sft,SFT,accuracy on answered,higher,ParaRel OOD,vanilla SFT,68.42,R-Tuning,69.41,0.99,1.4,,false,false,raw-reports/02,OOD transfer of refusal meta-skill
2312.07000,Alignment for Honesty,2023,abstention,LLaMA2-Chat-13B,13,honesty_sft,SFT,honesty score,higher,Non-AmbigQA OOD,never-refuse baseline,50.00,MULTISAMPLE,70.18,20.18,40.4,,false,false,raw-reports/02,prudence 64.73
2312.07000,Alignment for Honesty,2023,abstention,LLaMA2-Chat-13B,13,honesty_sft,SFT,honesty score,higher,Non-AmbigQA OOD,never-refuse baseline,50.00,CONFIDENCE-VERB,68.74,18.74,37.5,,false,false,raw-reports/02,prudence 51.11
2405.21028,LACIE,2024,calibration,"Mistral-7B,Llama-3-8B/70B",8,dpo_calibration,DPO,AUROC listener,higher,TriviaQA,base,,LACIE,,20.7,,,false,false,raw-reports/05,avg points improvement
2405.21028,LACIE,2024,calibration,"Mistral-7B,Llama-3-8B/70B",8,dpo_calibration,DPO,calibration error,lower,TriviaQA,base,,LACIE,,-7.8,,,false,false,raw-reports/05,
2405.21028,LACIE,2024,abstention,"Mistral-7B,Llama-3-8B/70B",8,dpo_calibration,DPO,false positives accepted,lower,human listener eval,base,,LACIE,,,-47.0,,false,false,raw-reports/02,47% fewer incorrect answers accepted
2410.17234,Semantic-entropy abstention,2024,abstention,unspecified 7B-class,7,sft_variants,SFT,AED,lower,Long-QA ID,R-Tuning,0.399,SE (Llama),0.364,-0.035,-8.8,,false,false,raw-reports/02,label-free abstention targets
2109.07958,TruthfulQA,2021,hallucination,GPT-3 175B,175,scale_inverse,none,% truthful,higher,TruthfulQA,human,94.0,best model,58.0,-36.0,-38.3,817,false,true,raw-reports/03,dataset local; recomputable
2109.07958,TruthfulQA,2021,hallucination,GPT-J 6B vs 125M,6,scale_inverse,none,% truthful,higher,TruthfulQA,GPT-J 125M,,GPT-J 6B,,-17.0,,817,false,false,raw-reports/03,inverse scaling within family
2305.18153,SelfAware,2023,knowledge-boundary,GPT-4,,scale_and_tuning,none,F1 unanswerable detection,higher,SelfAware,human,84.93,GPT-4 instruction,75.47,-9.46,-11.1,3369,false,true,raw-reports/03,dataset local; recomputable
2305.18153,SelfAware,2023,knowledge-boundary,LLaMA-65B,65,scale_and_tuning,none,F1 unanswerable detection,higher,SelfAware,human,84.93,LLaMA-65B,46.89,-38.04,-44.8,3369,false,false,raw-reports/03,
2305.14251,FActScore,2023,hallucination,"InstructGPT,ChatGPT",,rlhf_grades,RLHF,FActScore,higher,biographies,InstructGPT,42.5,ChatGPT,58.3,15.8,37.2,,false,false,raw-reports/03,PerplexityAI (retrieval) 71.5
2405.01525,FLAME,2024,hallucination,Llama-2-70B-chat pipeline,70,factuality_aware_alignment,SFT+DPO,FActScore,higher,biographies,standard alignment,,FLAME,,5.6,,,false,false,raw-reports/03,win rate held at 51.2%
2311.08401,FactTune,2023,hallucination,Llama-2-7B,7,dpo_factuality,DPO,factual error rate,lower,biographies,RLHF baseline,,FactTune-FS,,,-23.0,,false,false,raw-reports/05,error reduction >=23% bios / 12% medical
2311.08401,FactTune,2023,hallucination,Llama-2-7B,7,dpo_factuality,DPO,factual error rate,lower,medical QA,Llama-2-chat,,FactTune-FS,,,-40.0,,false,false,raw-reports/05,at 7B scale
2506.09038,AbstentionBench,2025,abstention,20 frontier LLMs,,reasoning_ft_effect,RL,abstention recall,higher,20 datasets,instruct,,reasoning fine-tuned,,,-24.0,,false,false,raw-reports/03,verify 24% against PDF; scale 8B-405B no effect
2402.00367,Don't Hallucinate Abstain,2024,abstention,"Mistral-7B,LLaMA2-70B,ChatGPT",,multi_llm_abstention,prompting,abstain accuracy,higher,4 QA datasets,strongest baseline,,Cooperate/Compete,,,19.3,,false,false,raw-reports/03,up to
2407.12043,CoCoNot,2024,abstention,GPT-4,,noncompliance_eval,none,incorrect compliance,lower,CoCoNot eval,ideal,0,GPT-4,30.0,30.0,,1001,false,false,raw-reports/03,up to 30% in understudied categories
2212.09251,Model-written evals,2022,sycophancy,Anthropic 52B,52,scale_and_rlhf,RLHF,% match user view,lower,NLP+philosophy,neutral 50%,50.0,52B model,90.0,40.0,80.0,,false,false,raw-reports/04,>90%; flat across RL steps incl. 0
2308.03958,Wei synthetic data,2023,sycophancy,PaLM 8B->62B,62,scale,none,sycophancy,lower,opinion eval,PaLM-8B,,PaLM-62B,,19.8,,,false,false,raw-reports/04,pp increase with scale
2308.03958,Wei synthetic data,2023,sycophancy,PaLM 62B->540B,540,scale,none,sycophancy,lower,opinion eval,PaLM-62B,,PaLM-540B,,10.0,,,false,false,raw-reports/04,
2308.03958,Wei synthetic data,2023,sycophancy,Flan-PaLM-8B,8,instruction_tuning,SFT,sycophancy,lower,opinion eval,PaLM-8B,,Flan-PaLM-8B,,26.0,,,false,false,raw-reports/04,instruction tuning increases sycophancy
2308.03958,Wei synthetic data,2023,sycophancy,Flan-PaLM-62B,62,synthetic_data_intervention,SFT,sycophancy,lower,opinion eval,before intervention,,after intervention,,-8.8,,,false,false,raw-reports/04,interventions: -4.7/-8.8/-10.0 pp
2310.13548,Towards Understanding Sycophancy,2023,sycophancy,Claude 1.3,,capitulation,RLHF,wrongful capitulation,lower,are-you-sure QA,ideal,0,Claude 1.3,98.0,98.0,,,false,false,raw-reports/04,STARRED — verify against Fig 1/4
2310.13548,Towards Understanding Sycophancy,2023,sycophancy,Claude 2 PM,,preference_data_analysis,RLHF,pref prob boost from matching user,lower,hh-rlhf 15k pairs,no matching,,matching user beliefs,,6.0,,15000,false,false,raw-reports/04,STARRED — more predictive than truthfulness
2311.08596,FlipFlop,2023,sycophancy,10 LLMs,,capitulation,none,flip rate,lower,7 classification tasks,ideal,0,average model,46.0,46.0,,,false,false,raw-reports/04,accuracy -17% after challenge
2311.08596,FlipFlop,2023,sycophancy,LLMs after SFT intervention,,sft_intervention,SFT,accuracy deterioration,lower,7 classification tasks,no finetune,,synthetic-data finetune,,,-60.0,,false,false,raw-reports/04,reduces but does not eliminate
2502.08177,SycEval,2025,sycophancy,"GPT-4o,Claude,Gemini",,frontier_audit,RLHF,sycophancy rate,lower,AMPS+MedQuad,ideal,0,average,58.19,58.19,,,true,false,raw-reports/04,persistence 78.5% (CI 77.2-79.8) — rare CI
2505.13995,ELEPHANT,2025,sycophancy,11 LLMs,,social_sycophancy,RLHF,face preservation vs human,lower,OEQ+AITA,human baseline,,LLM average,,45.0,,,false,false,raw-reports/04,pp above human; 48% both-sides affirmation
nostalgebraist-2023,Base models not sycophantic,2023,sycophancy,davinci-002 base,175,base_vs_feedback_tuned,none,% match user view,lower,Perez evals,chance,50.0,base davinci-002,52.6,2.6,5.2,,true,false,raw-reports/04,CI 52.3-53.0; sycophancy appears only after feedback tuning
2404.14723,Insights into Alignment,2024,methods,Mistral-family,7,sft_vs_kto,KTO,TruthfulQA score,higher,TruthfulQA,SFT,,KTO (from SFT base),,,17.5,,false,false,raw-reports/05,KTO/IPO outperform SFT by 17.5%
2404.14723,Insights into Alignment,2024,methods,Mistral-family,7,sft_vs_kto,KTO,TruthfulQA score,higher,TruthfulQA,SFT,,KTO (from pretrained),,,9.5,,false,false,raw-reports/05,
jmir-e76048,Clinical SFT vs DPO,2025,methods,Llama3-7B-class,7,sft_vs_dpo,DPO,clinical reasoning accuracy,higher,clinical tasks,SFT,,DPO,,8.0,,,true,false,raw-reports/05,p=0.003 — rare p-value; Mistral +7% p=0.004
2505.19056,Abliteration defense,2025,methods,7B-class,7,refusal_dose_response,SFT,over-refusal,lower,safety refusal mix,0% refusal data,0,2% refusal data,6.0,6.0,,,false,false,raw-reports/05,SAFETY refusals not epistemic; only dose-response found
2406.10162,Sycophancy to Subterfuge,2024,sycophancy,Claude-2-scale,,gaming_generalization,RL,reward tampering frequency,lower,held-out trials,no curriculum,0,after sycophancy curriculum,0.137,0.137,,32768,false,false,raw-reports/04,45/32768 = 0.137%; cover-ups 7/45
